TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
cameras,id,int,NO,PRI,NULL,auto_increment
cameras,user_id,int,NO,MUL,NULL,
cameras,camera_name,varchar(100),NO,,NULL,
cameras,camera_type,varchar(20),NO,,NULL,
cameras,camera_source,varchar(255),NO,,NULL,
cameras,location,varchar(200),YES,,NULL,
cameras,is_active,tinyint(1),YES,,NULL,
cameras,is_online,tinyint(1),YES,,NULL,
cameras,last_seen,datetime,YES,,NULL,
cameras,api_key,varchar(64),YES,UNI,NULL,
cameras,confidence_threshold,float,YES,,NULL,
cameras,iou_threshold,float,YES,,NULL,
cameras,enable_alert,tinyint(1),YES,,NULL,
cameras,enable_screenshot,tinyint(1),YES,,NULL,
cameras,created_at,datetime,YES,,NULL,
cameras,updated_at,datetime,YES,,NULL,
cameras,nms_threshold,float,YES,,0.5,
cameras,draw_bbox,tinyint(1),YES,,1,
cameras,detect_mode,"enum('real_time','low_power')",YES,,real_time,
detections,id,int,NO,PRI,NULL,auto_increment
detections,user_id,int,NO,MUL,NULL,
detections,camera_id,int,NO,MUL,NULL,
detections,timestamp,datetime,YES,MUL,NULL,
detections,has_person,tinyint(1),YES,,NULL,
detections,has_cigarette,tinyint(1),YES,,NULL,
detections,is_smoking,tinyint(1),YES,,NULL,
detections,confidence,float,YES,,NULL,
detections,screenshot_path,varchar(500),YES,,NULL,
detections,detection_details,text,YES,,NULL,
detections,created_at,datetime,YES,,NULL,
system_settings,id,int,NO,PRI,NULL,auto_increment
system_settings,confidence_threshold,float,YES,,0.5,
system_settings,nms_threshold,float,YES,,0.45,
system_settings,draw_bbox,tinyint(1),YES,,1,
system_settings,detect_mode,varchar(20),YES,,real_time,
system_settings,save_location,varchar(20),YES,,server,
system_settings,save_days,int,YES,,30,
system_settings,updated_at,datetime,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
users,id,int,NO,PRI,NULL,auto_increment
users,username,varchar(50),NO,UNI,NULL,
users,email,varchar(100),NO,UNI,NULL,
users,hashed_password,varchar(255),NO,,NULL,
users,full_name,varchar(100),YES,,NULL,
users,is_active,tinyint(1),YES,,NULL,
users,is_admin,tinyint(1),YES,,NULL,
users,created_at,datetime,YES,,NULL,
users,updated_at,datetime,YES,,NULL,
